,ActivatedSludge_assembly,ActivatedSludge_metagenomic,ActivatedSludge_metatranscriptomic
ActivatedSludge_assembly,8,0,0
ActivatedSludge_metagenomic,0,20,10
ActivatedSludge_metatranscriptomic,0,10,162
