"v1","v2","asso","diss","adja"
"Acidovorax_caeni","Acidovorax_delafieldii",0.395329331366549,0.549850283547008,0.450149716452992
"Acidovorax_caeni","Acinetobacter_lwoffii",0.352862658818381,0.568830968382356,0.431169031617644
"Acidovorax_caeni","Acinetobacter_schindleri",0.365067376732272,0.563441489095242,0.436558510904758
"Acidovorax_caeni","Agitococcus_lubricus",0.36297231299735,0.564370307069149,0.435629692930851
"Acidovorax_caeni","Aquincola_tertiaricarbonis",0.371093986102159,0.560761096144268,0.439238903855732
"Acidovorax_caeni","Arcobacter_cryaerophilus",0.363485139683589,0.564143093690072,0.435856906309928
"Acidovorax_caeni","Enhydrobacter_aerosaccus",0.359760439049582,0.565791287026593,0.434208712973407
"Acidovorax_caeni","Erythrobacter_nanhaisediminis",0.370995987636662,0.560804784378369,0.439195215621631
"Acidovorax_caeni","Mitsuaria_chitosanitabida",0.360802664670192,0.565330582637189,0.434669417362811
"Acidovorax_caeni","Paracoccus_aminovorans",0.374485342625521,0.559247108787555,0.440752891212445
"Acidovorax_caeni","Prevotella_copri",0.359734826061763,0.565802604243846,0.434197395756154
"Acidovorax_caeni","Roseateles_depolymerans",0.363251211864153,0.56424674927546,0.43575325072454
"Acidovorax_delafieldii","Agitococcus_lubricus",0.365481655373773,0.563257642924722,0.436742357075278
"Acidovorax_delafieldii","Roseateles_depolymerans",0.355090769476561,0.567850874140139,0.432149125859861
"Acinetobacter_guillouiae","Acinetobacter_johnsonii",0.363010741815783,0.564353283938446,0.435646716061554
"Acinetobacter_guillouiae","Prevotella_melaninogenica",0.376030184305357,0.558556091943613,0.441443908056387
"Acinetobacter_guillouiae","Ruminococcus_gnavus",0.351995028549521,0.569212162313174,0.430787837686826
"Acinetobacter_johnsonii","Acinetobacter_lwoffii",0.45605932991151,0.521507751662662,0.478492248337338
"Acinetobacter_johnsonii","Acinetobacter_rhizosphaerae",0.407857225214,0.544124422713225,0.455875577286775
"Acinetobacter_johnsonii","Agitococcus_lubricus",0.406377317588298,0.544803947494739,0.455196052505261
"Acinetobacter_johnsonii","Aquincola_tertiaricarbonis",0.417209004514066,0.539810612847661,0.460189387152339
"Acinetobacter_johnsonii","Arcobacter_cryaerophilus",0.395148284371547,0.549932593882401,0.450067406117599
"Acinetobacter_johnsonii","Bacillus_ginsengihumi",0.368282628902712,0.562013065282867,0.437986934717133
"Acinetobacter_johnsonii","Bacillus_safensis",0.354968994976212,0.56790448361665,0.43209551638335
"Acinetobacter_johnsonii","Bacteroides_uniformis",0.408853208869166,0.543666621713544,0.456333378286456
"Acinetobacter_johnsonii","Baumannia_cicadellinicola",0.353258153386533,0.568657122796095,0.431342877203905
"Acinetobacter_johnsonii","Bifidobacterium_adolescentis",0.413954077272377,0.541315953361631,0.458684046638369
"Acinetobacter_johnsonii","Bifidobacterium_longum",0.425304094248866,0.536048461312564,0.463951538687436
"Acinetobacter_johnsonii","Blautia_obeum",0.360254690018123,0.565572855599469,0.434427144400531
