,ActivatedSludge_assembly,ActivatedSludge_metagenomic,ActivatedSludge_metatranscriptomic
ActivatedSludge_assembly,0,0,0
ActivatedSludge_metagenomic,0,0,4
ActivatedSludge_metatranscriptomic,0,4,0
