"v1","v2","asso","diss","adja"
"Brevibacterium_casei","Filimonas_lacunae",0.457741853243237,0.520700560186353,0.479299439813647
"Brevibacterium_casei","Halorhodospira_halophila",0.457741853243908,0.520700560186031,0.479299439813969
"Brevibacterium_casei","Kerstersia_gyiorum",0.457741853243805,0.52070056018608,0.47929943981392
"Brevibacterium_casei","Legionella_dresdenensis",0.457741853243436,0.520700560186257,0.479299439813743
"Brevibacterium_casei","Microbacterium_lacticum",0.457741853243996,0.520700560185988,0.479299439814012
"Brevibacterium_casei","Nitrosomonas_nitrosa",0.457741853243881,0.520700560186044,0.479299439813956
"Brevibacterium_casei","Pseudoxanthomonas_taiwanensis",0.45774185324386,0.520700560186054,0.479299439813946
"Brevibacterium_casei","Stenotrophomonas_geniculata",0.457741853243846,0.52070056018606,0.47929943981394
"Filimonas_lacunae","Halorhodospira_halophila",0.457741853243612,0.520700560186173,0.479299439813827
"Filimonas_lacunae","Kerstersia_gyiorum",0.457741853243761,0.520700560186101,0.479299439813899
"Filimonas_lacunae","Legionella_dresdenensis",0.457741853243719,0.520700560186121,0.479299439813879
"Filimonas_lacunae","Microbacterium_lacticum",0.457741853244009,0.520700560185982,0.479299439814018
"Filimonas_lacunae","Nitrosomonas_nitrosa",0.457741853243835,0.520700560186065,0.479299439813935
"Filimonas_lacunae","Pseudoxanthomonas_taiwanensis",0.457741853243825,0.52070056018607,0.47929943981393
"Filimonas_lacunae","Stenotrophomonas_geniculata",0.457741853243846,0.52070056018606,0.47929943981394
"Halorhodospira_halophila","Kerstersia_gyiorum",0.457741853243849,0.520700560186059,0.479299439813941
"Halorhodospira_halophila","Legionella_dresdenensis",0.457741853243645,0.520700560186157,0.479299439813843
"Halorhodospira_halophila","Microbacterium_lacticum",0.457741853243774,0.520700560186095,0.479299439813905
"Halorhodospira_halophila","Nitrosomonas_nitrosa",0.457741853243874,0.520700560186047,0.479299439813953
"Halorhodospira_halophila","Pseudoxanthomonas_taiwanensis",0.457741853243833,0.520700560186066,0.479299439813934
"Halorhodospira_halophila","Stenotrophomonas_geniculata",0.457741853243842,0.520700560186062,0.479299439813938
"Kerstersia_gyiorum","Legionella_dresdenensis",0.45774185324395,0.52070056018601,0.47929943981399
"Kerstersia_gyiorum","Microbacterium_lacticum",0.457741853243732,0.520700560186115,0.479299439813885
"Kerstersia_gyiorum","Nitrosomonas_nitrosa",0.457741853243822,0.520700560186072,0.479299439813928
"Kerstersia_gyiorum","Pseudoxanthomonas_taiwanensis",0.457741853243757,0.520700560186103,0.479299439813897
"Kerstersia_gyiorum","Stenotrophomonas_geniculata",0.457741853243783,0.52070056018609,0.47929943981391
"Legionella_dresdenensis","Microbacterium_lacticum",0.457741853243576,0.52070056018619,0.47929943981381
"Legionella_dresdenensis","Nitrosomonas_nitrosa",0.457741853243744,0.520700560186109,0.479299439813891
"Legionella_dresdenensis","Pseudoxanthomonas_taiwanensis",0.457741853243733,0.520700560186114,0.479299439813886
"Legionella_dresdenensis","Stenotrophomonas_geniculata",0.457741853243747,0.520700560186108,0.479299439813892
"Microbacterium_lacticum","Nitrosomonas_nitrosa",0.457741853243809,0.520700560186078,0.479299439813922
"Microbacterium_lacticum","Pseudoxanthomonas_taiwanensis",0.457741853243724,0.520700560186119,0.479299439813881
"Microbacterium_lacticum","Stenotrophomonas_geniculata",0.457741853243825,0.52070056018607,0.47929943981393
"Nitrosomonas_nitrosa","Pseudoxanthomonas_taiwanensis",0.4577418532438,0.520700560186082,0.479299439813918
"Nitrosomonas_nitrosa","Stenotrophomonas_geniculata",0.457741853243756,0.520700560186103,0.479299439813897
"Pseudoxanthomonas_taiwanensis","Stenotrophomonas_geniculata",0.457741853243697,0.520700560186132,0.479299439813868
"Pseudomonas_fragi","Intrasporangium_calvum",0.369382847465481,0.561523442313195,0.438476557686805
"Pseudomonas_fragi","Xylophilus_ampelinus",0.384362706288977,0.554814065120479,0.445185934879521
"Pseudomonas_fragi","Petrobacter_succinatimandens",0.38231250446253,0.555737121100197,0.444262878899803
"Pseudomonas_fragi","Shewanella_benthica",0.38231250446253,0.555737121100197,0.444262878899803
"Pseudomonas_fragi","Plesiomonas_shigelloides",0.38231250446253,0.555737121100197,0.444262878899803
"Pseudomonas_fragi","Halomonas_alkalitolerans",0.369382847465482,0.561523442313194,0.438476557686806
"Pseudomonas_fragi","Photobacterium_damselae",0.369382847465489,0.561523442313191,0.438476557686809
"Intrasporangium_calvum","Streptococcus_equi",0.51423112077501,0.49283307479561,0.50716692520439
"Intrasporangium_calvum","Coprobacillus_cateniformis",0.387945093829297,0.553197481090931,0.446802518909069
"Intrasporangium_calvum","Cetobacterium_somerae",0.51423112077502,0.492833074795605,0.507166925204395
"Intrasporangium_calvum","Xylophilus_ampelinus",0.35210436861483,0.56916413774287,0.43083586225713
"Intrasporangium_calvum","Petrobacter_succinatimandens",0.402489466121081,0.546585095789722,0.453414904210278
"Intrasporangium_calvum","Aeromonas_popoffii",0.51423112077501,0.49283307479561,0.50716692520439
"Intrasporangium_calvum","Shewanella_benthica",0.402489466121076,0.546585095789724,0.453414904210276
"Intrasporangium_calvum","Ewingella_americana",0.51423112077502,0.492833074795605,0.507166925204395
"Intrasporangium_calvum","Kleidoceria_schneideri",0.51423112077501,0.49283307479561,0.50716692520439
"Intrasporangium_calvum","Plesiomonas_shigelloides",0.402489466121084,0.546585095789721,0.453414904210279
"Intrasporangium_calvum","Xenorhabdus_bovienii",0.514231120775013,0.492833074795608,0.507166925204392
