,Node,Out-Degree
62,Brachybacterium conglomeratum,2
18,Aggregatibacter segnis,2
13,Actinobacillus scotiae,2
269,Testudinibacter aquarius,2
162,Leptothrix discophora,2
148,Intrasporangium calvum,2
14,Actinomadura vinacea,2
45,Sutcliffiella horikoshii,2
123,Erwinia oleae,2
274,Thiothrix eikelboomii,2
136,Fulvimonas soli,2
183,Neisseria cinerea,2
15,Bowdeniella nasicola,2
268,Tessaracoccus bendigoensis,2
249,Serratia symbiotica,2
43,Heyndrickxia ginsengihumi,2
117,Pluralibacter pyrinus,2
262,Streptococcus equi,2
205,Planococcus maitriensis,2
100,Desulfosporosinus meridiei,2
99,Desulforhabdus amnigena,2
96,Desulfonatronum lacustre,2
93,Deinococcus yavapaiensis,2
92,Azonexus fungiphilus,2
291,Xenorhabdus kozodoii,2
104,Dethiosulfovibrio peptidovorans,2
288,Xenorhabdus budapestensis,2
287,Xenorhabdus bovienii,2
82,Clostridium gasigenes,2
203,Photobacterium damselae,2
21,Akkermansia muciniphila,2
208,Porphyromonas endodontalis,2
280,Vibrio fortis,2
108,Enhydrobacter aerosaccus,2
281,Vibrio metschnikovii,2
137,Gluconacetobacter liquefaciens,2
12,Haemophilus parahaemolyticus,2
146,Guyparkeria hydrothermalis,2
213,Cutibacterium granulosum,2
214,Pseudidiomarina homiensis,2
11,Acinetobacter schindleri,1
293,Xenorhabdus poinarii,1
263,Streptococcus ferus,1
296,Zhongshania guokunii,1
295,Xylophilus ampelinus,1
265,Streptococcus parasuis,1
150,Kerstersia gyiorum,1
139,Gracilibacillus halotolerans,1
282,Vibrio rumoiensis,1
290,Xenorhabdus japonica,1
17,Aeromonas popoffii,1
272,Thermoflavimicrobium dichotomicum,1
273,Thermomicrobium carboxidum,1
279,Veillonella parvula,1
277,Vagococcus salmoninarum,1
145,Halorhodospira halophila,1
182,Neisseria canis,1
19,Agitococcus lubricus,1
134,Flavobacterium gelidilacus,1
215,Pseudoalteromonas tunicata,1
73,Candidimonas humi,1
78,Chlorobium chlorochromatii,1
106,Dysgonomonas gadei,1
81,Peptoclostridium litorale,1
201,Pelistega europaea,1
83,Clostridium longisporum,1
105,Dorea longicatena,1
87,Conchiformibius steedae,1
88,Coprobacillus cateniformis,1
179,Mitsuokella multacida,1
189,Ornithinibacillus scapharcae,1
97,Desulfonatronum thiodismutans,1
98,Desulforegula conservatrix,1
186,Nitrosomonas nitrosa,1
72,Bythopirellula goksoeyrii,1
217,Pseudomonas moraviensis,1
168,Marinilabilia nitratireducens,1
245,Serpentinicella alkaliphila,1
27,Aminomonas paucivorans,1
28,Anaerocella delicata,1
29,Anaerosinus glycerini,1
32,Aliarcobacter cryaerophilus,1
154,Kribbia dieselivorans,1
129,Eubacterium biformis,1
244,Scopulibacillus darangshiensis,1
61,Blautia producta,1
243,Samsonia erythrinae,1
42,Mesobacillus foraminis,1
238,Mediterraneibacter gnavus,1
47,Rossellomorea marisflavi,1
48,Peribacillus muralis,1
50,Bacillus racemilacticus,1
141,Haematomicrobium sanguinis,1
